# best_L1 average_L1
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.3159 69.4812
69.3159 69.4507
69.3159 69.3626
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
