   BINSIZE: 0.146667
# VELOCITY:     AVE_POFV:        ERROR:
           8       9.341        8.84    0.260616
           8      10.704     10.7665     0.19219
           8      11.081     12.0824    0.189563
           8      12.714     12.2764    0.255733
           8      11.405     11.6688    0.272763
           8       9.951     10.2424    0.169698
           8       8.632     8.54688    0.176016
           8       7.035     7.29237    0.175333
           8       6.088     5.37638    0.186309
           8       4.261       3.742    0.137825
           8         2.2      2.4515   0.0806528
           8       1.429     1.46387   0.0723126
           8       0.791     0.89375   0.0425319
           8       0.485    0.513375   0.0563851
           8       0.353      0.3115   0.0328881
           8       0.185     0.17775   0.0224852
           8       0.056     0.10025   0.0220474
           8           0     0.03725   0.0153366
           8           0    0.004125  0.00385858
           8           0           0           0
           8           0           0           0
           8           0           0           0
           8           0           0           0
           8           0           0           0
           8           0           0           0
           8           0           0           0
           9       0.246    0.185333   0.0260631
           9       1.323     1.35311   0.0651915
           9       3.462       3.478   0.0992924
           9       5.992     6.17511    0.139218
           9       9.785       8.945    0.251924
           9       11.89     10.8913    0.207453
           9      12.262     12.1023    0.169548
           9      12.003      12.246    0.229115
           9      10.903     11.5837    0.255382
           9       9.954     10.2103    0.153837
           9       8.891     8.58511    0.160558
           9       6.947       7.254    0.159996
           9       5.011     5.33578    0.169974
           9       3.107     3.67144    0.139406
           9       2.158     2.41889   0.0780062
           9       1.654       1.485   0.0672928
           9       0.919    0.896556   0.0378985
           9       0.524    0.514556   0.0501324
           9        0.41    0.322444   0.0310014
           9       0.298    0.191111   0.0236254
           9       0.186    0.109778   0.0215583
           9       0.075   0.0414444   0.0141945
           9           0  0.00366667  0.00345697
           9           0           0           0
           9           0           0           0
           9           0           0           0
           9           0           0           0
           9           0           0           0
           9           0           0           0
           9           0           0           0
          10       0.254      0.1922   0.0243445
          10        1.77      1.3948   0.0707574
          10       3.606      3.4908   0.0901845
          10       5.741      6.1317    0.131891
          10       9.392      8.9897    0.230663
          10      12.129     11.0151    0.220559
          10      12.478     12.1399      0.1567
          10      12.155     12.2369    0.206384
          10      11.189     11.5442    0.232873
          10        9.72     10.1613    0.146059
          10       8.578      8.5844    0.144503
          10       6.973      7.2259    0.146443
          10       4.607      5.2629    0.167875
          10       3.549      3.6592    0.126002
          10       2.337      2.4107   0.0706341
          10       1.579      1.4944   0.0612165
          10       0.761       0.883   0.0364524
          10       0.432      0.5063   0.0457939
          10       0.342      0.3244   0.0279629
          10       0.219      0.1939   0.0214268
          10       0.053      0.1041   0.0201363
          10       0.056      0.0429   0.0128495
          10        0.05      0.0083  0.00538526
          10        0.03       0.003  0.00284605
          10           0           0           0
          10           0           0           0
          10           0           0           0
          10           0           0           0
          10           0           0           0
          10           0           0           0
