#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         414     1.93445      2.0137  0.00670586
         415     1.92815     2.01349  0.00669287
         416     1.92034     2.01327  0.00668052
         417      1.9535     2.01313  0.00666604
         418     1.99965     2.01309  0.00665017
         419      2.0285     2.01313   0.0066344
         420     2.02062     2.01315  0.00661863
         421     2.02154     2.01317  0.00660294
         422     1.98467      2.0131  0.00658764
         423     1.98468     2.01303   0.0065724
         424     2.01573     2.01304  0.00655691
         425     2.00328     2.01302  0.00654152
         426     2.01142     2.01301  0.00652616
         427     2.00494     2.01299  0.00651091
         428     1.98418     2.01293  0.00649604
         429     1.95363     2.01279  0.00648237
         430     1.95491     2.01265  0.00646869
         431     1.93808     2.01248    0.006456
         432      1.9827     2.01241  0.00644142
         433     2.01405     2.01242  0.00642655
         434     2.03414     2.01247  0.00641193
         435     2.02205     2.01249  0.00639723
         436     2.00599     2.01247  0.00638258
         437     1.97907      2.0124  0.00636843
         438     1.93885     2.01223   0.0063561
         439     1.91997     2.01202   0.0063451
         440     1.94825     2.01187  0.00633233
         441     1.97531     2.01179  0.00631852
         442     1.98782     2.01174  0.00630445
         443     1.98299     2.01167  0.00629056
         444     1.97619     2.01159   0.0062769
         445     1.95581     2.01147  0.00626404
         446     1.94957     2.01133  0.00625153
         447     1.92383     2.01113  0.00624061
         448     1.90496     2.01089  0.00623118
         449     1.90684     2.01066  0.00622161
         450     1.92333     2.01047  0.00621081
         451     1.92773     2.01029  0.00619975
         452     1.90909     2.01006  0.00619007
         453     1.92251     2.00987  0.00617942
         454     1.95103     2.00974  0.00616717
         455     1.96571     2.00964  0.00615438
         456     1.95552     2.00952  0.00614202
         457     1.94428     2.00938  0.00613024
         458     1.95403     2.00926  0.00611805
         459     1.97796     2.00919   0.0061051
         460     1.97995     2.00913  0.00609216
         461     1.97895     2.00906   0.0060793
         462     1.97163     2.00898  0.00606668
         463     1.97321      2.0089  0.00605407
         464     1.98297     2.00885  0.00604128
         465     1.98965     2.00881  0.00602843
         466      1.9765     2.00874  0.00601589
         467     1.98602     2.00869   0.0060032
         468     2.02052     2.00871  0.00599043
         469     2.03489     2.00877  0.00597792
         470     2.01303     2.00878   0.0059652
         471       1.991     2.00874  0.00595266
         472      1.9816     2.00868  0.00594032
         473     1.96177     2.00858  0.00592859
         474     1.99376     2.00855  0.00591617
         475     2.01753     2.00857  0.00590374
         476     2.04425     2.00865  0.00589182
         477     2.02385     2.00868  0.00587955
         478      2.0146     2.00869  0.00586726
         479     2.01968     2.00871  0.00585506
         480     2.00575     2.00871  0.00584286
         481     1.97167     2.00863  0.00583122
         482     1.94395      2.0085  0.00582067
         483     1.95826     2.00839  0.00580955
         484     1.94674     2.00827  0.00579894
         485     1.96528     2.00818  0.00578766
         486     1.97651     2.00811  0.00577612
         487     1.97535     2.00804  0.00576465
         488     1.97477     2.00798  0.00575324
         489     1.97897     2.00792  0.00574178
         490     1.95069      2.0078  0.00573125
         491     1.95454     2.00769  0.00572061
         492     1.97174     2.00762  0.00570945
         493      1.9938     2.00759  0.00569793
         494     2.00693     2.00759   0.0056864
         495     2.01535      2.0076  0.00567493
         496     1.99994     2.00759  0.00566351
         497     1.99217     2.00756   0.0056522
         498     1.95585     2.00745  0.00564181
         499     1.92034     2.00728   0.0056332
         500     1.91343     2.00709  0.00562506
