#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         368     1.32572     1.34717  0.00496124
         369     1.31819     1.34709  0.00494842
         370     1.30297     1.34697  0.00493648
         371     1.31042     1.34687  0.00492416
         372     1.30836     1.34677  0.00491201
         373     1.31185     1.34668  0.00489973
         374     1.32585     1.34662  0.00488695
         375     1.31655     1.34654  0.00487457
         376     1.31972     1.34647  0.00486213
         377     1.33111     1.34643   0.0048494
         378     1.33342     1.34639   0.0048367
         379     1.35563     1.34642    0.004824
         380     1.33635     1.34639  0.00481138
         381     1.32714     1.34634  0.00479901
         382     1.30994     1.34625   0.0047874
         383     1.31091     1.34615  0.00477579
         384     1.30293     1.34604  0.00476467
         385     1.29081      1.3459  0.00475446
         386     1.28627     1.34574  0.00474465
         387     1.29235     1.34561  0.00473439
         388     1.28825     1.34546   0.0047245
         389     1.29518     1.34533  0.00471412
         390     1.31385     1.34525  0.00470273
         391     1.30692     1.34515  0.00469172
         392     1.30868     1.34506  0.00468067
         393     1.30315     1.34495  0.00466998
         394     1.32601      1.3449  0.00465837
         395     1.33887     1.34489   0.0046466
         396     1.33547     1.34486  0.00463493
         397     1.32247     1.34481   0.0046236
         398     1.30324      1.3447  0.00461316
         399     1.29444     1.34458  0.00460332
         400     1.30605     1.34448  0.00459282
         401     1.30763     1.34439  0.00458228
         402      1.3097      1.3443   0.0045717
         403     1.29903     1.34419  0.00456173
         404     1.28678     1.34405  0.00455265
         405     1.26748     1.34386  0.00454534
         406     1.26558     1.34367  0.00453823
         407      1.2821     1.34351   0.0045296
         408     1.29295     1.34339  0.00452019
         409     1.28084     1.34324  0.00451173
         410     1.27369     1.34307  0.00450391
         411     1.28518     1.34293  0.00449515
         412     1.27057     1.34275  0.00448767
         413     1.27776     1.34259  0.00447957
         414     1.28963     1.34247  0.00447057
         415     1.28543     1.34233  0.00446191
         416     1.28023     1.34218  0.00445368
         417     1.30234     1.34208  0.00444403
         418      1.3331     1.34206  0.00443345
         419     1.35233     1.34209  0.00442293
         420     1.34708      1.3421  0.00441242
         421     1.34769     1.34211  0.00440196
         422     1.32311     1.34207  0.00439176
         423     1.32312     1.34202   0.0043816
         424     1.34382     1.34203  0.00437127
         425     1.33552     1.34201  0.00436101
         426     1.34094     1.34201  0.00435078
         427     1.33663       1.342  0.00434061
         428     1.32279     1.34195   0.0043307
         429     1.30242     1.34186  0.00432158
         430     1.30328     1.34177  0.00431246
         431     1.29205     1.34165    0.004304
         432      1.3218     1.34161  0.00429428
         433      1.3427     1.34161  0.00428436
         434     1.35609     1.34164  0.00427462
         435     1.34803     1.34166  0.00426482
         436     1.33733     1.34165  0.00425505
         437     1.31938      1.3416  0.00424562
         438     1.29256     1.34149   0.0042374
         439     1.27998     1.34135  0.00423007
         440     1.29883     1.34125  0.00422155
         441     1.31688     1.34119  0.00421234
         442     1.32521     1.34116  0.00420297
         443     1.32199     1.34111   0.0041937
         444     1.31746     1.34106   0.0041846
         445     1.30387     1.34098  0.00417603
         446     1.29972     1.34088  0.00416769
         447     1.28255     1.34075  0.00416041
         448     1.26997      1.3406  0.00415412
         449     1.27123     1.34044  0.00414774
         450     1.28222     1.34031  0.00414054
         451     1.28515     1.34019  0.00413317
         452     1.27273     1.34004  0.00412672
         453     1.28168     1.33991  0.00411962
         454     1.30069     1.33983  0.00411145
         455     1.31048     1.33976  0.00410292
         456     1.30368     1.33968  0.00409468
         457     1.29619     1.33959  0.00408683
         458     1.30269     1.33951   0.0040787
         459     1.31864     1.33946  0.00407007
         460     1.31997     1.33942  0.00406144
         461      1.3193     1.33937  0.00405286
         462     1.31442     1.33932  0.00404445
         463     1.31547     1.33927  0.00403604
         464     1.32198     1.33923  0.00402752
         465     1.32643      1.3392  0.00401895
         466     1.31767     1.33916  0.00401059
         467     1.32401     1.33913  0.00400214
         468     1.34701     1.33914  0.00399362
         469     1.35659     1.33918  0.00398528
         470     1.34202     1.33919   0.0039768
         471     1.32733     1.33916  0.00396844
         472     1.32107     1.33912  0.00396022
         473     1.30785     1.33906   0.0039524
         474     1.32917     1.33904  0.00394411
         475     1.34502     1.33905  0.00393583
         476     1.36284      1.3391  0.00392788
         477     1.34923     1.33912   0.0039197
         478     1.34307     1.33913  0.00391151
         479     1.34645     1.33914  0.00390337
         480     1.33717     1.33914  0.00389524
         481     1.31444     1.33909  0.00388748
         482     1.29597       1.339  0.00388045
         483      1.3055     1.33893  0.00387303
         484     1.29783     1.33884  0.00386596
         485     1.31019     1.33878  0.00385844
         486     1.31767     1.33874  0.00385075
