#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         326   -0.365037   -0.431085  0.00832493
         327     -0.3597   -0.430867  0.00830233
         328    -0.36012   -0.430651  0.00827982
         329   -0.348758   -0.430403   0.0082584
         330   -0.337057    -0.43012  0.00823821
         331   -0.363377   -0.429918  0.00821579
         332   -0.392033   -0.429804  0.00819184
         333   -0.378783   -0.429651  0.00816867
         334   -0.371796   -0.429477  0.00814605
         335     -0.3579   -0.429264  0.00812453
         336   -0.340082   -0.428998  0.00810469
         337   -0.315396   -0.428661  0.00808765
         338    -0.29869   -0.428277  0.00807285
         339   -0.301677   -0.427903  0.00805767
         340   -0.323638   -0.427597  0.00803981
         341   -0.331335   -0.427314  0.00802119
         342   -0.346572   -0.427078  0.00800121
         343   -0.352149    -0.42686  0.00798086
         344   -0.354459   -0.426649  0.00796043
         345   -0.318889   -0.426337  0.00794349
         346    -0.33542   -0.426074  0.00792487
         347   -0.359098   -0.425881  0.00790439
         348   -0.385811   -0.425766  0.00788251
         349    -0.40099   -0.425695  0.00786024
         350   -0.393481   -0.425603  0.00783832
         351   -0.420334   -0.425588  0.00781601
         352   -0.416295   -0.425562  0.00779385
         353   -0.435605    -0.42559  0.00777182
         354    -0.43594   -0.425619  0.00774992
         355   -0.428782   -0.425628   0.0077281
         356   -0.433653   -0.425651  0.00770642
         357    -0.42725   -0.425655  0.00768484
         358   -0.418607   -0.425636  0.00766339
         359    -0.38023   -0.425509  0.00764309
         360   -0.381368   -0.425386  0.00762284
         361   -0.387355   -0.425281  0.00760246
         362   -0.394567   -0.425196  0.00758193
         363   -0.376518   -0.425062  0.00756223
         364   -0.352629   -0.424863  0.00754407
         365   -0.342177   -0.424637   0.0075268
         366   -0.364424   -0.424472  0.00750803
         367   -0.384527   -0.424363  0.00748837
         368   -0.391615   -0.424274  0.00746855
         369    -0.38043   -0.424155  0.00744925
         370   -0.357892   -0.423976  0.00743127
         371   -0.369233   -0.423829   0.0074127
         372   -0.365987   -0.423673  0.00739441
         373    -0.37144   -0.423533  0.00737591
         374   -0.391883   -0.423449  0.00735667
         375   -0.378105   -0.423328  0.00733805
         376   -0.383103   -0.423221  0.00731931
         377   -0.400253    -0.42316  0.00730015
         378   -0.403671   -0.423108  0.00728102
         379   -0.436627   -0.423144   0.0072619
         380   -0.407749   -0.423103   0.0072429
         381   -0.393996   -0.423027  0.00722429
         382   -0.368208   -0.422884  0.00720681
         383   -0.369443   -0.422744  0.00718934
         384   -0.357635   -0.422574  0.00717262
         385   -0.339317   -0.422358  0.00715725
         386    -0.33255   -0.422126  0.00714249
         387   -0.341755   -0.421918  0.00712705
         388   -0.335743   -0.421696  0.00711214
         389   -0.346238   -0.421502   0.0070965
         390   -0.374341   -0.421381  0.00707933
         391   -0.362924   -0.421231  0.00706281
         392   -0.366553   -0.421092  0.00704617
         393   -0.358313   -0.420932  0.00703005
         394   -0.392799   -0.420861  0.00701257
         395   -0.411837   -0.420838  0.00699485
         396    -0.40646   -0.420802  0.00697728
         397   -0.387119   -0.420717  0.00696022
         398   -0.357791   -0.420559  0.00694453
         399   -0.345205    -0.42037  0.00692969
         400   -0.362412   -0.420225  0.00691388
         401   -0.364792   -0.420087  0.00689802
         402   -0.368145   -0.419957  0.00688207
         403   -0.351801   -0.419788  0.00686708
         404   -0.333093   -0.419574  0.00685343
         405   -0.304208   -0.419289  0.00684243
         406   -0.301743   -0.418999  0.00683169
