#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         355     1.59681      1.5966 1.74027e-05
         356      1.5967      1.5966  1.7356e-05
         357     1.59648      1.5966 1.73107e-05
         358     1.59642      1.5966 1.72697e-05
         359     1.59666      1.5966 1.72224e-05
         360     1.59648      1.5966 1.71778e-05
         361     1.59666      1.5966 1.71308e-05
         362     1.59601      1.5966 1.71612e-05
         363     1.59654      1.5966 1.71148e-05
         364     1.59664      1.5966 1.70682e-05
         365     1.59719      1.5966 1.70984e-05
         366     1.59645      1.5966  1.7057e-05
         367     1.59623      1.5966 1.70411e-05
         368     1.59634      1.5966 1.70091e-05
         369     1.59649      1.5966 1.69657e-05
         370     1.59647      1.5966 1.69235e-05
         371     1.59687      1.5966 1.68937e-05
         372      1.5965      1.5966 1.68506e-05
         373     1.59683      1.5966 1.68164e-05
         374     1.59618      1.5966 1.68093e-05
         375     1.59691      1.5966 1.67851e-05
         376     1.59698      1.5966 1.67705e-05
         377     1.59623      1.5966 1.67558e-05
         378     1.59649      1.5966  1.6714e-05
         379     1.59728      1.5966 1.67664e-05
         380     1.59669      1.5966 1.67238e-05
         381     1.59639      1.5966 1.66896e-05
         382      1.5966      1.5966 1.66459e-05
         383     1.59638      1.5966 1.66128e-05
         384     1.59688      1.5966 1.65857e-05
         385     1.59658      1.5966 1.65427e-05
         386     1.59725      1.5966  1.6584e-05
         387     1.59713     1.59661 1.65974e-05
         388     1.59607      1.5966 1.66126e-05
         389     1.59596      1.5966 1.66528e-05
         390     1.59686      1.5966 1.66228e-05
         391     1.59662      1.5966 1.65803e-05
         392     1.59706      1.5966 1.65791e-05
         393     1.59623      1.5966 1.65635e-05
         394     1.59662      1.5966 1.65215e-05
         395     1.59715      1.5966 1.65374e-05
         396     1.59679     1.59661 1.65025e-05
         397     1.59647      1.5966 1.64645e-05
         398     1.59686     1.59661 1.64355e-05
         399     1.59635      1.5966 1.64067e-05
         400     1.59678     1.59661 1.63715e-05
         401     1.59649     1.59661  1.6333e-05
         402     1.59644      1.5966 1.62973e-05
         403     1.59703     1.59661 1.62914e-05
         404     1.59645     1.59661 1.62559e-05
         405     1.59672     1.59661 1.62184e-05
         406     1.59612      1.5966 1.62232e-05
         407     1.59655      1.5966 1.61838e-05
         408     1.59637      1.5966 1.61542e-05
         409     1.59646      1.5966 1.61183e-05
         410     1.59632      1.5966 1.60941e-05
         411     1.59687      1.5966 1.60683e-05
         412     1.59617      1.5966 1.60643e-05
         413     1.59599      1.5966 1.60937e-05
         414     1.59696      1.5966 1.60777e-05
         415     1.59655      1.5966 1.60395e-05
         416      1.5964      1.5966 1.60079e-05
         417     1.59649      1.5966 1.59718e-05
         418     1.59674      1.5966 1.59369e-05
         419     1.59647      1.5966  1.5902e-05
         420     1.59671      1.5966 1.58664e-05
         421     1.59596      1.5966 1.59013e-05
         422     1.59658      1.5966 1.58638e-05
         423     1.59701      1.5966 1.58565e-05
         424     1.59674      1.5966 1.58224e-05
         425     1.59609      1.5966 1.58302e-05
         426     1.59666      1.5966 1.57937e-05
         427     1.59653      1.5966 1.57576e-05
         428     1.59647      1.5966 1.57237e-05
         429     1.59666      1.5966 1.56877e-05
         430     1.59625      1.5966 1.56725e-05
         431     1.59678      1.5966  1.5642e-05
         432     1.59669      1.5966 1.56074e-05
         433     1.59662      1.5966 1.55714e-05
         434     1.59674      1.5966 1.55389e-05
         435     1.59652      1.5966 1.55044e-05
         436     1.59666      1.5966 1.54694e-05
         437     1.59632      1.5966  1.5447e-05
         438     1.59659      1.5966 1.54117e-05
         439     1.59666      1.5966 1.53773e-05
         440     1.59672      1.5966 1.53448e-05
         441     1.59691      1.5966 1.53257e-05
         442     1.59673      1.5966 1.52937e-05
         443     1.59652      1.5966 1.52603e-05
         444     1.59643      1.5966 1.52306e-05
         445     1.59649      1.5966 1.51985e-05
         446     1.59649      1.5966 1.51664e-05
         447     1.59652      1.5966 1.51335e-05
         448     1.59667      1.5966 1.51004e-05
         449     1.59709      1.5966 1.51056e-05
         450     1.59652      1.5966 1.50731e-05
         451     1.59586      1.5966 1.51281e-05
         452     1.59633      1.5966 1.51066e-05
         453     1.59669      1.5966 1.50746e-05
         454     1.59686      1.5966 1.50523e-05
         455      1.5963      1.5966 1.50339e-05
         456     1.59695      1.5966 1.50207e-05
         457      1.5962      1.5966 1.50133e-05
         458     1.59677      1.5966 1.49855e-05
         459     1.59636      1.5966 1.49616e-05
         460      1.5964      1.5966 1.49353e-05
         461     1.59687      1.5966 1.49149e-05
         462     1.59639      1.5966 1.48896e-05
         463     1.59661      1.5966 1.48575e-05
         464     1.59679      1.5966 1.48311e-05
         465      1.5967      1.5966 1.48009e-05
         466     1.59702      1.5966 1.47969e-05
         467     1.59631      1.5966 1.47782e-05
         468     1.59665      1.5966 1.47471e-05
         469     1.59669      1.5966  1.4717e-05
         470     1.59674      1.5966 1.46888e-05
         471     1.59695      1.5966 1.46762e-05
         472     1.59727      1.5966 1.47144e-05
         473     1.59639      1.5966 1.46902e-05
         474     1.59685      1.5966 1.46685e-05
         475     1.59644      1.5966 1.46415e-05
         476     1.59593      1.5966 1.46792e-05
         477     1.59637      1.5966 1.46566e-05
         478     1.59701      1.5966 1.46514e-05
         479     1.59675      1.5966 1.46244e-05
         480     1.59618      1.5966 1.46198e-05
         481     1.59733      1.5966 1.46682e-05
         482     1.59575      1.5966 1.47443e-05
         483     1.59655      1.5966 1.47141e-05
         484      1.5966      1.5966 1.46837e-05
         485     1.59656      1.5966 1.46537e-05
         486     1.59708      1.5966 1.46566e-05
         487     1.59627      1.5966 1.46424e-05
         488      1.5964      1.5966 1.46181e-05
         489     1.59663      1.5966 1.45884e-05
         490     1.59714      1.5966 1.46007e-05
         491      1.5961      1.5966 1.46063e-05
         492     1.59637      1.5966 1.45839e-05
         493     1.59702      1.5966 1.45791e-05
         494     1.59659      1.5966 1.45496e-05
         495     1.59701      1.5966 1.45441e-05
         496     1.59623      1.5966 1.45343e-05
         497     1.59701      1.5966 1.45285e-05
         498     1.59671      1.5966  1.4501e-05
         499     1.59605      1.5966 1.45139e-05
         500      1.5958      1.5966  1.4572e-05
