# block_number expected_H error_H
834 -0.44431495 0.00039167
835 -0.44429891 0.00039153
836 -0.44430178 0.00039107
837 -0.44431149 0.00039073
838 -0.44431816 0.00039032
839 -0.44433300 0.00039013
840 -0.44434016 0.00038974
841 -0.44432585 0.00038954
842 -0.44429342 0.00039042
843 -0.44428512 0.00039005
844 -0.44426418 0.00039015
845 -0.44427331 0.00038979
846 -0.44424850 0.00039012
847 -0.44423526 0.00038989
848 -0.44424129 0.00038948
849 -0.44424024 0.00038902
850 -0.44425074 0.00038870
851 -0.44424936 0.00038825
852 -0.44423728 0.00038798
853 -0.44421781 0.00038802
854 -0.44422320 0.00038760
855 -0.44421683 0.00038720
856 -0.44421194 0.00038678
857 -0.44422062 0.00038642
858 -0.44422509 0.00038600
859 -0.44421200 0.00038577
860 -0.44422668 0.00038560
861 -0.44423295 0.00038521
862 -0.44423648 0.00038478
863 -0.44423761 0.00038433
864 -0.44424273 0.00038392
865 -0.44425152 0.00038358
866 -0.44426912 0.00038354
867 -0.44427180 0.00038311
868 -0.44427137 0.00038267
869 -0.44427451 0.00038224
870 -0.44426798 0.00038186
871 -0.44426717 0.00038142
872 -0.44427007 0.00038099
873 -0.44427361 0.00038057
874 -0.44426622 0.00038021
875 -0.44426792 0.00037978
876 -0.44427010 0.00037935
877 -0.44426343 0.00037898
878 -0.44426628 0.00037856
879 -0.44429002 0.00037887
880 -0.44429856 0.00037854
881 -0.44430026 0.00037811
882 -0.44429903 0.00037769
883 -0.44427692 0.00037791
884 -0.44426257 0.00037775
885 -0.44426215 0.00037733
886 -0.44423290 0.00037803
887 -0.44426667 0.00037911
888 -0.44425640 0.00037883
889 -0.44426514 0.00037850
890 -0.44422854 0.00037984
891 -0.44420663 0.00038005
892 -0.44420987 0.00037964
893 -0.44420127 0.00037931
894 -0.44420120 0.00037889
895 -0.44420320 0.00037847
896 -0.44419411 0.00037816
897 -0.44417380 0.00037828
898 -0.44419151 0.00037827
899 -0.44419567 0.00037788
900 -0.44418052 0.00037776
901 -0.44416044 0.00037788
902 -0.44413877 0.00037808
903 -0.44413136 0.00037773
904 -0.44413240 0.00037732
905 -0.44410951 0.00037759
906 -0.44410155 0.00037726
907 -0.44410080 0.00037685
908 -0.44409731 0.00037645
909 -0.44409962 0.00037604
910 -0.44410563 0.00037568
911 -0.44408256 0.00037597
912 -0.44407856 0.00037558
913 -0.44408673 0.00037526
914 -0.44409042 0.00037487
915 -0.44408909 0.00037446
916 -0.44409240 0.00037407
917 -0.44411108 0.00037413
918 -0.44409048 0.00037429
919 -0.44408093 0.00037400
920 -0.44406012 0.00037417
921 -0.44405955 0.00037377
922 -0.44406501 0.00037340
923 -0.44408713 0.00037365
924 -0.44408069 0.00037330
925 -0.44407504 0.00037294
926 -0.44408880 0.00037280
927 -0.44410188 0.00037262
928 -0.44413308 0.00037353
929 -0.44411879 0.00037340
