# SA_step mu sigma
391 0.79568604 0.49733440
392 0.80186153 0.50381418
393 0.79939089 0.49714400
394 0.79939089 0.49714400
395 0.80420928 0.49887566
396 0.81321285 0.50128529
397 0.81286934 0.51118313
398 0.80965845 0.51690868
399 0.81022726 0.51935373
400 0.80768199 0.52865046
401 0.81086657 0.53694898
402 0.81128862 0.54472709
403 0.81131174 0.54425242
404 0.80628144 0.54878860
405 0.80579994 0.55595381
406 0.80757434 0.55546053
407 0.80531002 0.55193767
408 0.80963692 0.54952284
409 0.81807597 0.55861559
410 0.82282667 0.56547740
411 0.81877337 0.56814427
412 0.81375947 0.56863084
413 0.80714473 0.56917900
414 0.80194433 0.56671709
415 0.80194433 0.56671709
416 0.80846628 0.56517903
417 0.79895903 0.55696720
418 0.79379362 0.55629788
419 0.79379362 0.55629788
420 0.80138135 0.56340457
421 0.80692687 0.56162146
422 0.80785050 0.56090581
423 0.81362800 0.56166940
424 0.81557778 0.55235617
425 0.82489595 0.56202480
426 0.82148556 0.56485840
427 0.81329500 0.57320251
428 0.81364284 0.57397524
429 0.81364284 0.57397524
430 0.82013216 0.57127379
431 0.81086915 0.57254461
432 0.80806497 0.56634955
433 0.79847613 0.56752835
434 0.80741462 0.57151654
435 0.79970478 0.58109008
436 0.79645067 0.58723025
437 0.80036637 0.57966437
438 0.80333513 0.58122191
439 0.81243906 0.58545128
440 0.81341498 0.59523665
441 0.81620713 0.59655194
442 0.81566056 0.60363455
443 0.81248300 0.59842932
444 0.80466393 0.59203638
445 0.79663703 0.59686354
446 0.80345461 0.58745913
447 0.81233601 0.59681825
448 0.80481921 0.60048243
449 0.79865503 0.59756256
450 0.79747483 0.59428962
451 0.79903678 0.59428453
452 0.78906417 0.58521198
453 0.78706501 0.58420621
454 0.79016576 0.59412699
455 0.78731142 0.59764690
456 0.78898745 0.58926465
457 0.79184701 0.59762717
458 0.78410111 0.60446104
459 0.78395908 0.59616071
460 0.78708194 0.60561050
461 0.78500772 0.61553722
462 0.78608971 0.61908751
463 0.79283401 0.61871010
464 0.78525823 0.62176364
465 0.78726016 0.62687062
466 0.78807494 0.62865293
467 0.78807494 0.62865293
468 0.78807494 0.62865293
469 0.79154217 0.62458742
470 0.80069080 0.62068981
471 0.79927458 0.61529769
472 0.80132181 0.61301839
473 0.80709601 0.62288668
474 0.80619452 0.61823664
475 0.81170861 0.61700562
476 0.81343095 0.61192733
477 0.82007493 0.62013997
478 0.81444831 0.62087440
479 0.81939037 0.61557844
480 0.82153582 0.62508535
481 0.83130554 0.62693110
482 0.83942543 0.62590087
483 0.84251599 0.61830550
484 0.83749771 0.62604271
485 0.83998253 0.63539547
486 0.84867688 0.62771310
487 0.84295809 0.63119352
488 0.84870110 0.62669506
489 0.85306831 0.62092645
490 0.84629472 0.62402463
491 0.84326330 0.62463074
492 0.84175939 0.62423841
493 0.83755822 0.61802411
494 0.83668222 0.61361531
495 0.84600615 0.60788257
496 0.84063368 0.59995239
497 0.84149934 0.60115164
498 0.84820547 0.59510766
499 0.84820547 0.59510766
500 0.85383283 0.60107299
501 0.85142008 0.60808317
502 0.84499786 0.60272296
503 0.84269482 0.59604101
504 0.84108425 0.59513712
505 0.84642459 0.59924159
506 0.84642459 0.59924159
507 0.85262314 0.59039075
508 0.84764341 0.59729620
509 0.85029938 0.59037487
510 0.85714205 0.58326451
511 0.85537536 0.58690895
512 0.85840624 0.59612812
513 0.85801679 0.60458195
514 0.86214802 0.59908928
515 0.86166285 0.59609454
516 0.85752361 0.60097117
517 0.84973771 0.60215035
518 0.84973771 0.60215035
