#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         292           0    0.106428  0.00839189
         293           0    0.106065  0.00837111
         294  0.00036096     0.10595  0.00834343
         295  0.00018624    0.105717  0.00831839
         296  0.00041664    0.105641  0.00829064
         297           0    0.105285  0.00827035
         298  0.00103104    0.105624  0.00824953
         299-1.15143e-15    0.105271   0.0082295
         300   6.336e-05    0.104962  0.00820785
         301  0.00012544    0.104697  0.00818487
         302  0.00095424    0.104982  0.00816274
         303    0.000304    0.104836   0.0081371
         304  0.00036096    0.104729  0.00811104
         305           0    0.104385  0.00809171
         306  0.00161536      0.1051  0.00809677
         307-1.15143e-15    0.104758  0.00807763
         308  0.00152256    0.105406   0.0080774
         309  0.00036096    0.105299  0.00805197
         310           0    0.104959  0.00803316
         311  0.00036096    0.104854  0.00800802
         312           0    0.104518   0.0079894
         313   6.336e-05    0.104224  0.00796926
         314  0.00094464    0.104494  0.00794845
         315  0.00141504    0.105061  0.00794339
         316    0.000576    0.105093  0.00791832
         317  0.00169216    0.105829  0.00792748
         318  0.00159936    0.106502  0.00793107
         319  0.00098496    0.106786  0.00791128
         320    0.001152    0.107172  0.00789599
         321           0    0.106838  0.00787844
         322    0.000304    0.106695  0.00785527
         323           0    0.106365  0.00783789
         324  0.00118976    0.106771  0.00782422
         325           0    0.106442  0.00780704
         326           0    0.106116  0.00778992
         327  0.00041664    0.106046   0.0077664
         328           0    0.105723  0.00774945
         329  0.00190144    0.106557  0.00777071
         330  0.00124416    0.106989  0.00775911
         331           0    0.106665   0.0077424
         332    0.000304    0.106527  0.00772031
         333   6.336e-05    0.106245  0.00770227
         334  0.00012544    0.106002  0.00768304
         335    0.001664    0.106679  0.00768987
         336  0.00116416    0.107055  0.00767615
         337  0.00147456    0.107612  0.00767358
         338           0    0.107294  0.00765748
         339  0.00151744    0.107873  0.00765673
         340  0.00041664      0.1078  0.00763455
         341  0.00012544    0.107558  0.00761602
         342   6.336e-05     0.10728   0.0075988
         343           0    0.106968  0.00758308
         344    0.001024    0.107252  0.00756637
         345           0    0.106941  0.00755082
         346  0.00018624     0.10674  0.00753168
         347    0.000304    0.106607  0.00751114
         348  0.00012544    0.106373  0.00749321
         349   6.336e-05    0.106105  0.00747655
         350  0.00149184    0.106654  0.00747534
         351   6.336e-05    0.106386  0.00745884
         352-1.15143e-15    0.106084  0.00744377
         353-1.15143e-15    0.105783  0.00742874
         354-1.15143e-15    0.105485  0.00741377
         355  0.00131776     0.10593  0.00740624
         356  0.00047104    0.105897  0.00738551
         357  0.00012544    0.105671  0.00736829
         358  0.00036096    0.105577   0.0073483
         359  0.00012544    0.105353  0.00733125
         360  0.00155904    0.105926  0.00733328
         361           0    0.105633  0.00731884
         362           0    0.105341  0.00730444
         363  0.00094464    0.105571  0.00728794
         364           0    0.105281  0.00727369
         365   6.336e-05    0.105028  0.00725818
         366           0    0.104741  0.00724402
         367  0.00041664    0.104682  0.00722452
         368  0.00024576    0.104531  0.00720646
         369  0.00067584    0.104615  0.00718741
         370   6.336e-05    0.104366  0.00717228
         371  0.00012544    0.104152  0.00715613
         372           0    0.103872  0.00714237
         373  0.00106176    0.104163  0.00712914
         374   6.336e-05    0.103919  0.00711427
         375-1.15143e-15    0.103641   0.0071007
         376    0.000816      0.1038  0.00708358
         377  0.00036096    0.103716  0.00706529
         378  0.00067584    0.103799  0.00704708
         379  0.00052416    0.103802  0.00702849
         380  0.00041664    0.103748   0.0070102
         381  0.00077056     0.10388  0.00699305
         382   6.336e-05    0.103641  0.00697882
         383    0.000304     0.10353  0.00696149
         384    0.000304    0.103418  0.00694425
         385  0.00012544    0.103215   0.0069292
         386           0    0.102947   0.0069164
