#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         629     97.9632     82.9148     1.17632
         630     99.8432     82.9417     1.17476
         631     98.3264     82.9661     1.17315
         632     99.5392     82.9923     1.17158
         633         100     83.0192     1.17004
         634         100     83.0459      1.1685
         635      49.912     82.9938     1.16783
         636      3.6672      82.869     1.17263
         637     78.3744      82.862     1.17081
         638         100     82.8888     1.16929
         639     92.2848     82.9035     1.16755
         640     97.6336     82.9266     1.16595
         641         100     82.9532     1.16444
         642      88.016     82.9611     1.16265
         643     70.1696     82.9412     1.16101
         644      6.6064     82.8227     1.16524
         645      5.8416     82.7033     1.16953
         646     45.5008     82.6457     1.16914
         647      99.768     82.6722     1.16763
         648     99.0128     82.6974      1.1661
         649         100     82.7241     1.16461
         650     99.4608     82.7498      1.1631
         651         100     82.7763     1.16162
         652     99.6896     82.8022     1.16013
         653     99.9216     82.8285     1.15865
         654     98.2448      82.852     1.15711
         655     95.3888     82.8712     1.15551
         656         100     82.8973     1.15404
         657     99.9216     82.9232     1.15257
         658         100     82.9491     1.15111
         659     99.9216     82.9749     1.14966
         660     66.2192     82.9495     1.14819
         661         100     82.9753     1.14675
         662      98.568     82.9989     1.14526
         663     86.1632     83.0036     1.14354
         664         100     83.0292      1.1421
         665     99.6896     83.0543     1.14066
         666     99.6896     83.0793     1.13922
         667     99.9216     83.1045     1.13779
         668     85.5936     83.1082      1.1361
         669      9.3312      82.998     1.13974
         670     21.8112     82.9066     1.14169
         671     49.5456     82.8569     1.14107
         672         100     82.8824     1.13966
         673     95.5088     82.9012     1.13812
         674     99.0096     82.9251     1.13668
         675         100     82.9504     1.13528
         676     99.9216     82.9755     1.13388
         677     99.0128     82.9992     1.13245
         678     44.0096     82.9417     1.13224
         679     10.6256     82.8352     1.13557
         680      5.0128     82.7207     1.13965
         681      9.9232     82.6138     1.14298
         682      7.3088     82.5034     1.14662
         683     49.7744     82.4555     1.14595
         684     99.0816     82.4798     1.14453
         685     99.9216     82.5053     1.14314
         686         100     82.5308     1.14176
         687         100     82.5562     1.14038
         688         100     82.5815     1.13901
         689     99.9216     82.6067     1.13763
         690      93.088     82.6219     1.13608
         691      98.552      82.645     1.13467
         692         100       82.67     1.13331
         693     92.7312     82.6846     1.13177
         694         100     82.7095     1.13041
         695     89.6976     82.7196     1.12883
         696      9.1904     82.6139     1.13214
         697      9.5952     82.5092     1.13535
         698     89.5264     82.5192     1.13377
         699         100     82.5442     1.13242
         700     99.6144     82.5686     1.13107
         701     99.8464     82.5932     1.12972
         702     99.6272     82.6175     1.12838
         703     30.3952     82.5432     1.12921
         704      98.552      82.566     1.12784
         705      96.368     82.5855     1.12641
         706         100     82.6102     1.12508
         707     99.8432     82.6346     1.12376
         708     98.6896     82.6573      1.1224
         709     97.0752     82.6776       1.121
         710     99.9216     82.7019     1.11968
         711         100     82.7262     1.11837
         712     99.6928       82.75     1.11706
         713     88.0928     82.7575     1.11551
         714     14.8048     82.6624       1.118
         715      2.8144     82.5507       1.122
         716     32.6272      82.481      1.1226
         717         100     82.5054      1.1213
         718     99.9216     82.5297        1.12
         719     98.3424     82.5516     1.11866
         720     39.2176     82.4915     1.11872
         721       7.792     82.3879     1.12196
         722        37.6     82.3258     1.12212
         723       15.92      82.234     1.12432
         724     22.0832     82.1509     1.12583
         725      3.0592     82.0418     1.12955
         726     21.6384     81.9586     1.13106
         727         100     81.9834     1.12977
         728         100     82.0082     1.12849
         729      99.768     82.0325     1.12721
         730     99.9216      82.057     1.12593
         731     93.5568     82.0728      1.1245
         732     49.4176     82.0282     1.12385
         733     26.6208     81.9526     1.12485
         734     88.5824     81.9616     1.12336
         735     99.7648     81.9858     1.12209
         736     99.9216     82.0102     1.12083
         737     97.6128     82.0314     1.11951
         738       85.76     82.0364       1.118
         739     99.9216     82.0606     1.11675
         740     94.7808     82.0778     1.11538
         741     98.1104     82.0994     1.11408
         742         100     82.1236     1.11284
         743     91.7488     82.1365     1.11142
         744     98.9216     82.1591     1.11015
         745     99.5328     82.1824     1.10891
         746     57.3552     82.1491     1.10792
         747       45.52     82.1001     1.10752
         748     85.3376     82.1044     1.10605
         749         100     82.1283     1.10483
         750         100     82.1521     1.10362
         751     99.8464     82.1757      1.1024
         752         100     82.1994     1.10119
         753         100      82.223     1.09998
         754      33.704     82.1587      1.1004
         755      8.0096     82.0605     1.10332
         756     16.7408     81.9741     1.10523
         757      20.872     81.8934     1.10672
         758     97.3104     81.9137     1.10544
         759     99.8432     81.9373     1.10424
         760     99.5392     81.9605     1.10303
         761     99.9216     81.9841     1.10183
         762     46.7632     81.9379     1.10136
         763     98.4272     81.9595     1.10012
         764         100     81.9831     1.09894
         765     99.9216     82.0065     1.09775
         766         100       82.03     1.09657
         767     99.9216     82.0534     1.09539
         768         100     82.0767     1.09421
         769         100        82.1     1.09304
         770     97.4432       82.12      1.0918
         771         100     82.1431     1.09063
         772      96.472     82.1617     1.08937
         773     99.6928     82.1844      1.0882
         774     99.3136     82.2065     1.08702
         775     99.9216     82.2294     1.08586
         776     99.3104     82.2514     1.08468
         777      95.616     82.2686     1.08342
         778         100     82.2914     1.08227
         779     99.6896     82.3137     1.08111
         780     98.9248      82.335     1.07993
         781     95.2288     82.3515     1.07868
         782      99.768     82.3738     1.07753
         783     74.0304     82.3631      1.0762
         784     14.6496     82.2768     1.07829
         785      8.8592     82.1832     1.08097
         786      8.7648     82.0898     1.08362
         787      38.128      82.034     1.08368
         788     99.8432     82.0566     1.08254
         789     99.9216     82.0792     1.08141
         790     99.7648     82.1016     1.08027
         791      99.768     82.1239     1.07913
         792         100     82.1465     1.07801
         793         100      82.169     1.07688
         794     99.0784     82.1903     1.07574
         795     99.0032     82.2115     1.07459
         796     99.9216     82.2337     1.07347
         797         100      82.256     1.07236
         798     94.1856      82.271     1.07112
         799         100     82.2931     1.07001
         800     99.9216     82.3152      1.0689
         801         100     82.3373     1.06779
         802     92.6512     82.3501     1.06654
         803     99.2576     82.3712     1.06542
         804     99.6928     82.3927     1.06431
         805     99.8432     82.4144     1.06321
         806     94.2656     82.4291     1.06199
         807         100     82.4509      1.0609
         808      99.768     82.4723      1.0598
         809     99.8464     82.4938     1.05871
         810         100     82.5154     1.05762
         811     99.7648     82.5367     1.05653
         812     80.0336     82.5336     1.05523
         813      15.768     82.4515     1.05713
