#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         337     -0.9536    0.455386   0.0425923
         338          -1     0.45108   0.0426834
         339     -0.9792    0.446861   0.0427655
         340     -0.9904    0.442634   0.0428481
         341     -0.9988    0.438407   0.0429305
         342     -0.9996    0.434202   0.0430104
         343          -1    0.430021   0.0430877
         344      -0.974     0.42594   0.0431554
         345          -1    0.421806   0.0432277
         346      -0.998    0.417703   0.0432971
         347     -0.9976    0.413624    0.043364
         348     -0.9988    0.409566    0.043429
         349     -0.9996    0.405528   0.0434918
         350     -0.7972    0.402091   0.0435031
         351      0.1852    0.401474   0.0433835
         352     -0.1268    0.399973   0.0432862
         353     -0.5528    0.397274   0.0432477
         354     -0.4232    0.394956   0.0431876
         355     -0.9524    0.391161   0.0432324
         356     -0.6776    0.388158    0.043215
         357     -0.9984    0.384275   0.0432682
         358     -0.9972    0.380416    0.043319
         359     -0.9992    0.376573   0.0433685
         360     -0.8384    0.373198   0.0433792
         361          -1    0.369394   0.0434254
         362          -1    0.365611   0.0434699
         363     -0.9744     0.36192   0.0435066
         364          -1    0.358178   0.0435477
         365     -0.9996    0.354458    0.043587
         366          -1    0.350757   0.0436247
         367     -0.9948    0.347091   0.0436597
         368      -0.996    0.343441   0.0436933
         369      -0.986    0.339838   0.0437232
         370     -0.9992    0.336219   0.0437545
         371     -0.9992     0.33262   0.0437844
         372          -1    0.329038    0.043813
         373     -0.6296    0.326468   0.0437708
         374     -0.0268    0.325523    0.043664
         375     -0.1324    0.324302   0.0435646
         376     -0.0872    0.323207   0.0434625
         377      0.1208    0.322671   0.0433506
         378      0.0428     0.32193   0.0432422
         379      0.1808    0.321558   0.0431297
         380     -0.2524    0.320047   0.0430426
         381      -0.124    0.318882   0.0429454
         382     -0.5084    0.316716   0.0428876
         383      -0.994    0.313294   0.0429119
         384     -0.9968    0.309882   0.0429356
         385     -0.9992    0.306482   0.0429585
         386          -1    0.303097   0.0429803
         387     -0.9912    0.299753   0.0429992
         388     -0.9788    0.296458   0.0430145
         389     -0.9988    0.293128   0.0430326
         390     -0.9616    0.289911   0.0430423
         391          -1    0.286612   0.0430585
         392          -1     0.28333   0.0430735
         393     -0.7968    0.280581   0.0430515
         394     -0.5148    0.278562   0.0429896
         395     -0.9304    0.275502   0.0429896
         396     -0.9868    0.272314    0.042999
         397     -0.6264     0.27005   0.0429503
         398      -0.126    0.269055   0.0428539
         399      0.6748    0.270072   0.0427585
         400      0.7904    0.271373   0.0426714
         401      0.9984    0.273186   0.0426035
         402           1    0.274994   0.0425359
         403      0.9992    0.276791   0.0424683
         404           1    0.278581   0.0424009
         405      0.9944    0.280349    0.042333
         406           1    0.282121   0.0422658
         407           1    0.283885   0.0421987
         408           1     0.28564   0.0421318
         409           1    0.287387    0.042065
         410      0.9996    0.289124   0.0419982
         411           1    0.290854   0.0419317
         412      0.9996    0.292574   0.0418651
         413      0.6752      0.2935    0.041774
         414      0.3008    0.293518   0.0416731
         415       0.506     0.29403   0.0415759
         416      0.3536    0.294173   0.0414762
         417      0.2152    0.293984   0.0413771
         418      0.6256    0.294777   0.0412857
         419           1     0.29646   0.0412215
         420           1    0.298135   0.0411574
         421       0.946    0.299674   0.0410884
         422           1    0.301334   0.0410245
         423      0.9636    0.302899   0.0409574
         424      0.9824    0.304502   0.0408921
         425           1    0.306138   0.0408287
         426      0.9376    0.307621   0.0407597
         427      0.3512    0.307723   0.0406644
         428     -0.0372    0.306917   0.0405774
         429     -0.4536    0.305144   0.0405215
         430     -0.5964    0.303047   0.0404814
         431     -0.9936    0.300039   0.0404992
         432      -0.872    0.297326   0.0404962
         433     -0.9992    0.294332   0.0405132
         434          -1    0.291349   0.0405295
         435     -0.9996    0.288382   0.0405448
         436       -0.99     0.28545   0.0405577
         437     -0.9932    0.282524   0.0405703
         438          -1    0.279595   0.0405832
         439          -1    0.276681   0.0405953
         440      -0.678    0.274511    0.040561
         441     -0.6984    0.272305    0.040529
         442          -1    0.269426   0.0405394
         443     -0.9208     0.26674   0.0405368
         444     -0.9956    0.263896   0.0405451
         445     -0.8564    0.261379    0.040532
         446       -0.99    0.258573   0.0405381
         447     -0.9996    0.255758   0.0405451
         448     -0.9548    0.253056   0.0405445
         449     -0.9128     0.25046   0.0405373
         450     -0.9788    0.247728   0.0405391
         451     -0.9996    0.244962   0.0405435
         452          -1    0.242208   0.0405472
         453          -1    0.239466   0.0405503
         454     -0.9992    0.236737   0.0405527
         455     -0.7904     0.23448   0.0405263
         456     -0.9652    0.231849   0.0405228
         457     -0.9996    0.229154   0.0405236
         458     -0.9996    0.226472   0.0405238
         459      -0.998    0.223804   0.0405233
         460     -0.9436    0.221266   0.0405145
         461     -0.9868    0.218646   0.0405113
         462          -1    0.216008   0.0405094
         463     -0.9936    0.213395   0.0405061
         464     -0.9984    0.210784   0.0405029
         465     -0.7936    0.208624   0.0404733
         466     -0.7628    0.206539   0.0404401
         467          -1    0.203955    0.040436
         468     -0.9984    0.201386   0.0404311
         469      -0.964    0.198901   0.0404212
         470       -0.93      0.1965   0.0404065
         471     -0.9696    0.194024   0.0403965
         472     -0.5636    0.192419   0.0403428
         473     -0.0396    0.191928   0.0402605
         474     -0.0192    0.191483    0.040178
         475     -0.0484    0.190978   0.0400966
         476     -0.3992    0.189738   0.0400315
         477      0.2632    0.189892   0.0399479
         478      0.8892    0.191355   0.0398911
         479      0.9924    0.193027   0.0398428
         480           1    0.194708   0.0397953
         481      0.9992    0.196381   0.0397477
         482           1    0.198048   0.0397002
         483           1    0.199708   0.0396527
         484      0.9996    0.201361   0.0396052
         485      0.9992    0.203006   0.0395577
         486      0.9316    0.204505   0.0395047
         487      0.9972    0.206133   0.0394571
         488      0.6744    0.207093   0.0393879
         489      0.4588    0.207607   0.0393107
         490      0.3808    0.207961   0.0392321
         491      0.2876    0.208123   0.0391525
         492      0.3084    0.208327   0.0390735
         493      0.8332    0.209594   0.0390148
         494      0.9996    0.211194   0.0389685
         495           1    0.212787   0.0389224
         496       0.998     0.21437   0.0388761
         497      0.9988    0.215948   0.0388299
         498           1    0.217523   0.0387838
         499           1    0.219091   0.0387378
         500           1    0.220653   0.0386918
         501      0.9992    0.222207   0.0386458
         502           1    0.223756   0.0385998
         503      0.9988    0.225297   0.0385538
         504      0.9996    0.226833   0.0385079
         505      0.6304    0.227632     0.03844
